t(s)   Q (ml/s)	
1.076	0.1015
1.077	0.1008
1.078	0.1005
1.079	0.1003
1.08	0.0997
1.081	0.099
1.082	0.0985
1.083	0.0979
1.084	0.0972
1.085	0.0967
1.086	0.0959
1.087	0.0952
1.088	0.0948
1.089	0.0941
1.09	0.0934
1.091	0.0926
1.092	0.0923
1.093	0.0921
1.094	0.092
1.095	0.0918
1.096	0.0915
1.097	0.0915
1.098	0.0914
1.099	0.0918
1.1	0.0913
1.101	0.0916
1.102	0.092
1.103	0.0921
1.104	0.0927
1.105	0.0933
1.106	0.0934
1.107	0.0938
1.108	0.094
1.109	0.0944
1.11	0.0945
1.111	0.0947
1.112	0.0948
1.113	0.0949
1.114	0.0948
1.115	0.0948
1.116	0.095
1.117	0.0951
1.118	0.0955
1.119	0.0952
1.12	0.0959
1.121	0.0963
1.122	0.0968
1.123	0.0971
1.124	0.0973
1.125	0.0979
1.126	0.0979
1.127	0.0981
1.128	0.0982
1.129	0.0984
1.13	0.0983
1.131	0.0982
1.132	0.0981
1.133	0.0981
1.134	0.0979
1.135	0.0975
1.136	0.0972
1.137	0.0967
1.138	0.0971
1.139	0.0973
1.14	0.0973
1.141	0.0976
1.142	0.0981
1.143	0.0986
1.144	0.0992
1.145	0.0996
1.146	0.1006
1.147	0.1008
1.148	0.1011
1.149	0.101
1.15	0.1008
1.151	0.1007
1.152	0.1008
1.153	0.1001
1.154	0.0996
1.155	0.099
1.156	0.0984
1.157	0.0976
1.158	0.0967
1.159	0.0956
1.16	0.0948
1.161	0.0939
1.162	0.0932
1.163	0.0921
1.164	0.0908
1.165	0.0899
1.166	0.0891
1.167	0.0879
1.168	0.0872
1.169	0.0865
1.17	0.0855
1.171	0.085
1.172	0.0842
1.173	0.0832
1.174	0.0826
1.175	0.0818
1.176	0.0813
1.177	0.0801
1.178	0.0791
1.179	0.0785
1.18	0.0774
1.181	0.0764
1.182	0.0754
1.183	0.0744
1.184	0.0736
1.185	0.0728
1.186	0.0713
1.187	0.0703
1.188	0.0694
1.189	0.0685
1.19	0.0672
1.191	0.0656
1.192	0.0649
1.193	0.0638
1.194	0.0625
1.195	0.0612
1.196	0.0604
1.197	0.0587
1.198	0.0571
1.199	0.0556
1.2	0.054
1.201	0.0524
1.202	0.0517
1.203	0.0503
1.204	0.0487
1.205	0.0475
1.206	0.0468
1.207	0.0453
1.208	0.0442
1.209	0.0433
1.21	0.0427
1.211	0.0419
1.212	0.0409
1.213	0.04
1.214	0.0393
1.215	0.0381
1.216	0.0376
1.217	0.0365
1.218	0.0358
1.219	0.0349
1.22	0.034
1.221	0.0328
1.222	0.0317
1.223	0.0306
1.224	0.0295
1.225	0.0282
1.226	0.0271
1.227	0.0256
1.228	0.0242
1.229	0.0228
1.23	0.0216
1.231	0.0196
1.232	0.018
1.233	0.0165
1.234	0.015
1.235	0.0131
1.236	0.0119
1.237	0.0104
1.238	0.0091
1.239	0.0081
1.24	0.0071
1.241	0.0062
1.242	0.0051
1.243	0.0042
1.244	0.0037
1.245	0.0028
1.246	0.0024
1.247	0.0025
1.248	0.0025
1.249	0.0025
1.25	0.0033
1.251	0.0039
1.252	0.0051
1.253	0.0063
1.254	0.008
1.255	0.0094
1.256	0.0114
1.257	0.0138
1.258	0.016
1.259	0.0178
1.26	0.0208
1.261	0.0232
1.262	0.0257
1.263	0.0277
1.264	0.03
1.265	0.0322
1.266	0.0345
1.267	0.0362
1.268	0.0376
1.269	0.0386
1.27	0.0401
1.271	0.0412
1.272	0.042
1.273	0.0424
1.274	0.0434
1.275	0.0433
1.276	0.0434
1.277	0.0433
1.278	0.0433
1.279	0.0436
1.28	0.0435
1.281	0.0433
1.282	0.0433
1.283	0.0429
1.284	0.0436
1.285	0.0432
1.286	0.0432
1.287	0.0435
1.288	0.0439
1.289	0.0435
1.29	0.0438
1.291	0.0438
1.292	0.0439
1.293	0.0443
1.294	0.0448
1.295	0.045
1.296	0.0452
1.297	0.0455
1.298	0.0462
1.299	0.0463
1.3	0.0464
1.301	0.0468
1.302	0.0472
1.303	0.0473
1.304	0.0478
1.305	0.0483
1.306	0.0486
1.307	0.0488
1.308	0.0493
1.309	0.0495
1.31	0.0495
1.311	0.0501
1.312	0.0502
1.313	0.0503
1.314	0.0503
1.315	0.0505
1.316	0.0506
1.317	0.0502
1.318	0.0503
1.319	0.0499
1.32	0.0499
1.321	0.0498
1.322	0.05
1.323	0.0496
1.324	0.0491
1.325	0.049
1.326	0.0489
1.327	0.0481
1.328	0.0479
1.329	0.0477
1.33	0.0472
1.331	0.0468
1.332	0.0466
1.333	0.0457
1.334	0.0451
1.335	0.0445
1.336	0.0442
1.337	0.0435
1.338	0.0429
1.339	0.0425
1.34	0.0418
1.341	0.0411
1.342	0.0408
1.343	0.0401
1.344	0.0393
1.345	0.0387
1.346	0.0377
1.347	0.0369
1.348	0.0365
1.349	0.0359
1.35	0.0354
1.351	0.0344
1.352	0.0341
1.353	0.0336
1.354	0.0329
1.355	0.0324
1.356	0.0321
1.357	0.031
1.358	0.0305
1.359	0.0297
1.36	0.0289
1.361	0.0284
1.362	0.0282
1.363	0.0275
1.364	0.0266
1.365	0.026
1.366	0.0257
1.367	0.0249
1.368	0.0244
1.369	0.024
1.37	0.0234
1.371	0.0229
1.372	0.0224
1.373	0.022
1.374	0.0215
1.375	0.0207
1.376	0.0205
1.377	0.0198
1.378	0.019
1.379	0.0187
1.38	0.0182
1.381	0.0174
1.382	0.0174
1.383	0.0171
1.384	0.0167
1.385	0.0161
1.386	0.0162
1.387	0.0158
1.388	0.0155
1.389	0.0154
1.39	0.0152
1.391	0.0146
1.392	0.0145
1.393	0.0145
1.394	0.0142
1.395	0.0137
1.396	0.014
1.397	0.0137
1.398	0.0135
1.399	0.0134
1.4	0.0137
1.401	0.0129
1.402	0.0128
1.403	0.0127
1.404	0.0126
1.405	0.0124
1.406	0.0124
1.407	0.0126
1.408	0.0127
1.409	0.0125
1.41	0.0127
1.411	0.0127
1.412	0.0129
1.413	0.0133
1.414	0.0135
1.415	0.0131
1.416	0.0132
1.417	0.0134
1.418	0.0133
1.419	0.0133
1.42	0.0138
1.421	0.0138
1.422	0.0139
1.423	0.0138
1.424	0.0139
1.425	0.0142
1.426	0.0142
1.427	0.0144
1.428	0.0145
1.429	0.0144
1.43	0.0146
1.431	0.0147
1.432	0.0147
1.433	0.0149
1.434	0.0154
1.435	0.015
1.436	0.0154
1.437	0.0153
1.438	0.0157
1.439	0.0156
1.44	0.0156
1.441	0.0155
1.442	0.0155
1.443	0.0155
1.444	0.0159
1.445	0.0157
1.446	0.0156
1.447	0.0157
1.448	0.0159
1.449	0.0156
1.45	0.0161
1.451	0.0163
1.452	0.0161
1.453	0.0161
1.454	0.016
1.455	0.0159
1.456	0.0157
1.457	0.0159
1.458	0.0161
1.459	0.0156
1.46	0.0156
1.461	0.0157
1.462	0.0155
1.463	0.0155
1.464	0.0154
1.465	0.0151
1.466	0.0156
1.467	0.0156
1.468	0.0158
1.469	0.0152
1.47	0.0156
1.471	0.0154
1.472	0.0156
1.473	0.0152
1.474	0.0158
1.475	0.0159
1.476	0.0157
1.477	0.0155
1.478	0.0154
1.479	0.0157
1.48	0.0158
1.481	0.0156
1.482	0.0156
1.483	0.0153
1.484	0.0155
1.485	0.0157
1.486	0.0153
1.487	0.0154
1.488	0.0157
1.489	0.0155
1.49	0.0153
1.491	0.0153
1.492	0.0156
1.493	0.0151
1.494	0.0154
1.495	0.0152
1.496	0.0154
1.497	0.0151
1.498	0.0154
1.499	0.0155
1.5	0.0152
1.501	0.0153
1.502	0.0156
1.503	0.0155
1.504	0.0156
1.505	0.0156
1.506	0.0156
1.507	0.0155
1.508	0.0158
1.509	0.0157
1.51	0.0154
1.511	0.0154
1.512	0.0156
1.513	0.0152
1.514	0.0153
1.515	0.0153
1.516	0.0156
1.517	0.0155
1.518	0.015
1.519	0.0152
1.52	0.015
1.521	0.0151
1.522	0.0151
1.523	0.0149
1.524	0.0151
1.525	0.015
1.526	0.0151
1.527	0.0148
1.528	0.015
1.529	0.0152
1.53	0.015
1.531	0.0148
1.532	0.015
1.533	0.0151
1.534	0.0154
1.535	0.0151
1.536	0.0152
1.537	0.0149
1.538	0.0151
1.539	0.0152
1.54	0.015
1.541	0.0148
1.542	0.0151
1.543	0.0148
1.544	0.015
1.545	0.0147
1.546	0.0146
1.547	0.0149
1.548	0.0148
1.549	0.0152
1.55	0.015
1.551	0.0146
1.552	0.0148
1.553	0.0148
1.554	0.0149
1.555	0.0146
1.556	0.0152
1.557	0.0148
1.558	0.015
1.559	0.0147
1.56	0.015
1.561	0.0146
1.562	0.0152
1.563	0.0149
1.564	0.015
1.565	0.0144
